,PMCno,Ht,DBH,Utility
0,1520,9.96,18.45,good
1,1487,9.65,13.15,best
2,1362,6.5,10.32,low
3,1596,9.48,14.8,good
4,2088,10.78,14.5,good
5,1522,12.28,17.01,best
6,1521,9.77,13.93,good
7,1523,11.26,19.05,best
8,1524,6.59,7.62,average
9,1525,9.13,14.75,good
10,1520,6.72,8.15,low
11,1487,7.17,15.07,good
12,1362,6.05,8.99,low
13,1596,6.08,13.13,best
14,2088,8.93,10.78,good
15,1522,9.79,13.08,best
16,1521,8.32,10.22,average
17,1523,10.9,18.71,best
18,1524,6.5,8.23,low
19,1525,9.22,17.52,good
20,1520,5.91,10.75,average
21,1487,8.77,21.52,average
22,1362,6.5,15.22,average
23,1596,8.67,9.73,good
24,2088,8.22,17.15,good
25,1522,9.95,16.13,good
26,1521,5.79,8.78,average
27,1523,9.99,17.18,good
28,1524,5.55,12.39,average
29,1525,7.79,14.75,good
30,1487,8.64,27.98,low
31,1596,9.6,25.99,best
32,2088,8.35,33.41,average
33,1521,13.32,33.3,good
34,1523,12.33,33.13,good
35,1524,8.82,12.79,low
36,1520,12.12,25.92,good
37,1487,9.93,26.94,good
38,1362,8.23,11.88,low
39,1596,10.47,24.42,best
40,2088,11.69,31.74,good
41,1522,13.82,39.72,best
42,1521,13.32,31.38,best
43,1523,9.96,31.72,best
44,1524,10.33,23.36,good
45,1520,5.59,13.99,low
46,1487,9.93,3.072,good
47,1362,10.97,26.5,good
48,1596,7.85,24.42,good
49,2088,12.53,32.99,good
50,1522,12.09,30.48,best
51,1521,7.49,9.99,low
52,1523,10.56,39.65,best
53,1524,11.52,22.72,good
54,1520,8.2,10.1,average
55,1362,5.5,4.7,none
56,1596,12.6,17,good
57,2088,9.4,10.3,good
58,1522,12,21.6,good
59,1521,10,11.3,average
60,1523,9.3,12.7,good
61,1524,4.5,5.4,none
62,1520,5.5,6.8,low
63,1487,10,17.8,good
64,1596,10.2,20.4,good
65,2088,9.7,19.1,good
66,1522,9.8,15.5,good
67,1521,7.7,13.5,good
68,1523,12,20.8,average
69,1524,5.8,11.5,none
70,1487,13,37.6,good
71,1596,12,24.5,good
72,2088,9,17.6,good
73,1521,10.2,16.2,best
74,1523,9,11.5,good
75,1524,5.5,7.6,none
76,1094,5.5,3.4,none
77,1111,12.6,17.6,good
78,1112,10,14,low
79,1113,11.4,8.8,low
80,1338,10,15.8,average
81,1482,10.5,15.5,best
82,1978,11.1,14.6,good
83,1339,13.2,17.3,average
84,1786,10.8,13.3,best
85,2447,10.7,19.8,good
86,1595,4.3,5.2,none
87,1171,11.3,15,low
88,1596,10.8,15.3,best
89,2459,16,19,best
90,1785,6,7.2,none
91,1598,12.8,15.9,best
92,1787,14.8,18.1,best
93,2482,14.1,17,best
94,2431,16,26.1,best
95,1524,13.8,12.2,low
96,1340,4.3,9.3,none
97,2428,13.4,22.6,best
98,1094,7.4,7.8,none
99,1111,13.3,16.4,good
100,1112,9.7,11.9,low
101,1113,9.4,10.4,low
102,1338,10,13.5,low
103,1482,11,23,average
104,1978,12.6,23.7,good
105,1339,16,33.8,good
106,1786,15.3,17,best
107,2447,12.6,20.8,good
108,1595,4.4,6.5,none
109,1171,6.4,10.4,none
110,1596,8,12.6,average
111,1337,14.6,22.2,best
112,2459,15.4,19.6,best
113,1785,7.5,9.8,low
114,1598,14.4,15.2,good
115,1787,16.6,19.6,best
116,2482,14.1,17,best
117,2431,14,26,best
118,1192,5.2,8.9,none
119,1524,7.8,10.3,low
120,2435,12.3,19.6,best
121,1340,6.9,20.1,low
122,1094,4,13.5,none
123,1111,10.8,14.2,good
124,1112,10.6,13.1,none
125,1113,7,9.6,low
126,1338,9,18.9,none
127,1482,13.2,20,best
128,1978,13.5,26.6,good
129,1339,12.7,23.9,good
130,1786,12.2,17.8,good
131,2447,12.7,21.4,best
132,1595,5.3,7.8,none
