,Mg,Al,Si,K,Type
0,4.49,1.1,71.78,0.06,1
1,3.6,1.36,72.73,0.48,1
2,3.55,1.54,72.99,0.39,1
3,3.69,1.29,72.61,0.57,1
4,3.62,1.24,73.08,0.55,1
5,3.61,1.62,72.97,0.64,1
6,3.6,1.14,73.09,0.58,1
7,3.61,1.05,73.24,0.57,1
8,3.58,1.37,72.08,0.56,1
9,3.6,1.36,72.99,0.57,1
10,3.46,1.56,73.2,0.67,1
11,3.66,1.27,73.01,0.6,1
12,3.43,1.4,73.28,0.69,1
13,3.56,1.27,73.21,0.54,1
14,3.59,1.31,73.29,0.58,1
15,3.54,1.23,73.24,0.58,1
16,3.67,1.16,73.11,0.61,1
17,3.85,0.89,71.36,0.15,1
18,3.73,1.18,72.12,0.06,1
19,3.54,1.69,72.73,0.54,1
20,3.55,1.49,72.75,0.54,1
21,3.75,0.29,72.02,0.03,1
22,3.62,1.29,72.79,0.59,1
23,3.57,1.35,73.02,0.62,1
24,3.5,1.15,72.85,0.5,1
25,3.54,1.21,73.0,0.65,1
26,3.48,1.41,72.64,0.59,1
27,3.48,1.33,73.04,0.56,1
28,3.52,1.43,73.15,0.57,1
29,3.49,1.28,72.86,0.6,1
30,3.56,1.3,73.08,0.61,1
31,3.5,1.14,73.27,0.56,1
32,3.48,1.23,72.97,0.61,1
33,3.47,1.38,73.39,0.6,1
34,3.54,1.34,72.95,0.57,1
35,3.45,1.21,72.74,0.56,1
36,3.53,1.32,71.81,0.51,1
37,3.48,1.35,72.96,0.64,1
38,3.82,0.47,71.77,0.11,1
39,3.82,0.47,71.77,0.11,1
40,3.5,1.12,73.03,0.64,1
41,3.42,1.2,73.2,0.59,1
42,3.39,1.33,72.76,0.59,1
43,3.84,0.72,71.76,0.17,1
44,3.43,1.19,72.95,0.62,1
45,3.48,1.35,71.95,0.55,1
46,3.37,1.18,72.72,0.57,1
47,3.7,0.71,71.57,0.02,1
48,3.77,0.79,71.99,0.13,1
49,3.35,1.23,72.08,0.59,1
50,3.72,0.51,71.75,0.09,1
51,3.33,1.28,72.36,0.6,1
52,2.87,1.19,72.84,0.55,1
53,2.84,1.28,72.85,0.55,1
54,2.81,1.29,72.98,0.51,1
55,2.71,1.29,73.7,0.56,1
56,3.47,1.12,72.98,0.62,1
