,1,class
0,4,diaporthe-stem-canker
1,3,diaporthe-stem-canker
2,3,diaporthe-stem-canker
3,6,diaporthe-stem-canker
4,5,diaporthe-stem-canker
5,5,diaporthe-stem-canker
6,4,diaporthe-stem-canker
7,6,diaporthe-stem-canker
8,4,diaporthe-stem-canker
9,6,charcoal-rot
10,4,charcoal-rot
11,3,charcoal-rot
12,6,charcoal-rot
13,6,charcoal-rot
14,5,charcoal-rot
15,6,charcoal-rot
16,4,charcoal-rot
17,3,charcoal-rot
18,5,charcoal-rot
19,1,rhizoctonia-root-rot
20,1,rhizoctonia-root-rot
21,3,rhizoctonia-root-rot
22,0,rhizoctonia-root-rot
23,0,rhizoctonia-root-rot
24,1,rhizoctonia-root-rot
25,1,rhizoctonia-root-rot
26,2,rhizoctonia-root-rot
27,1,rhizoctonia-root-rot
28,2,rhizoctonia-root-rot
29,0,phytophthora-rot
30,1,phytophthora-rot
31,2,phytophthora-rot
32,1,phytophthora-rot
33,2,phytophthora-rot
34,3,phytophthora-rot
35,0,phytophthora-rot
36,3,phytophthora-rot
37,2,phytophthora-rot
38,2,phytophthora-rot
39,2,phytophthora-rot
40,1,phytophthora-rot
41,0,phytophthora-rot
42,0,phytophthora-rot
43,3,phytophthora-rot
44,2,phytophthora-rot
45,0,phytophthora-rot
46,2,phytophthora-rot
47,2,phytophthora-rot
48,0,phytophthora-rot
49,1,phytophthora-rot
50,1,phytophthora-rot
51,3,phytophthora-rot
52,2,phytophthora-rot
53,3,phytophthora-rot
54,1,phytophthora-rot
55,3,phytophthora-rot
56,2,phytophthora-rot
57,3,phytophthora-rot
58,1,phytophthora-rot
59,2,phytophthora-rot
60,3,phytophthora-rot
61,2,phytophthora-rot
62,3,phytophthora-rot
63,2,phytophthora-rot
64,1,phytophthora-rot
65,3,phytophthora-rot
66,3,phytophthora-rot
67,3,phytophthora-rot
68,3,phytophthora-rot
69,4,brown-stem-rot
70,4,brown-stem-rot
71,3,brown-stem-rot
72,5,brown-stem-rot
73,5,brown-stem-rot
74,4,brown-stem-rot
75,5,brown-stem-rot
76,6,brown-stem-rot
77,5,brown-stem-rot
78,5,brown-stem-rot
79,4,brown-stem-rot
80,4,brown-stem-rot
81,4,brown-stem-rot
82,3,brown-stem-rot
83,5,brown-stem-rot
84,4,brown-stem-rot
85,4,brown-stem-rot
86,4,brown-stem-rot
87,4,brown-stem-rot
88,3,brown-stem-rot
89,5,powdery-mildew
90,6,powdery-mildew
91,1,powdery-mildew
92,6,powdery-mildew
93,4,powdery-mildew
94,6,powdery-mildew
95,2,powdery-mildew
96,6,powdery-mildew
97,5,powdery-mildew
98,1,powdery-mildew
99,6,downy-mildew
100,2,downy-mildew
101,1,downy-mildew
102,4,downy-mildew
103,1,downy-mildew
104,2,downy-mildew
105,2,downy-mildew
106,4,downy-mildew
