,fruit,egdd,daf,Acceptability
0,1,651,30,excellent
1,2,651,30,excellent
2,9,651,30,ok
3,10,651,30,ok
4,2,772,40,ok
5,7,772,40,excellent
6,11,772,40,excellent
7,17,772,40,ok
8,3,891,50,excellent
9,4,891,50,ok
10,7,891,50,ok
11,12,891,50,excellent
12,4,953,60,excellent
13,8,953,60,excellent
14,12,953,60,excellent
15,13,953,60,excellent
16,5,601,30,ok
17,7,601,30,ok
18,11,601,30,ok
19,15,601,30,ok
20,6,664,40,ok
21,11,664,40,excellent
22,13,664,40,ok
23,20,664,40,excellent
24,6,727,50,ok
25,14,727,50,excellent
26,23,727,50,excellent
27,27,727,50,excellent
28,4,804,60,excellent
29,5,804,60,excellent
30,7,804,60,excellent
31,15,804,60,ok
32,3,602,30,not_acceptable
33,6,602,30,not_acceptable
34,7,602,30,not_acceptable
35,9,602,30,not_acceptable
36,1,626,40,ok
37,3,626,40,ok
38,7,626,40,ok
39,8,626,40,excellent
40,8,667,50,ok
41,14,667,50,not_acceptable
42,16,667,50,ok
43,19,667,50,not_acceptable
44,1,704,60,ok
45,3,704,60,not_acceptable
46,8,704,60,ok
47,9,704,60,not_acceptable
48,4,709,70,excellent
49,11,709,70,excellent
50,17,709,70,excellent
51,21,709,70,excellent
