,fruit,egdd,daf,Acceptability
0,3,651,30,ok
1,5,651,30,not_suitable
2,6,651,30,ok
3,16,651,30,not_suitable
4,3,772,40,ok
5,6,772,40,ok
6,8,772,40,ok
7,15,772,40,not_suitable
8,2,891,50,ok
9,13,891,50,excellent
10,15,891,50,ok
11,19,891,50,ok
12,9,953,60,ok
13,10,953,60,excellent
14,16,953,60,ok
15,19,953,60,excellent
16,2,601,30,not_suitable
17,3,601,30,not_suitable
18,12,601,30,not_suitable
19,16,601,30,not_suitable
20,3,664,40,not_suitable
21,7,664,40,not_suitable
22,9,664,40,not_suitable
23,15,664,40,not_suitable
24,9,727,50,ok
25,13,727,50,excellent
26,17,727,50,ok
27,24,727,50,not_suitable
28,8,804,60,ok
29,10,804,60,not_suitable
30,19,804,60,ok
31,20,804,60,ok
32,1,602,30,ok
33,2,602,30,not_suitable
34,4,602,30,ok
35,8,602,30,ok
36,5,626,40,not_suitable
37,14,626,40,not_suitable
38,16,626,40,not_suitable
39,18,626,40,not_suitable
40,3,667,50,not_suitable
41,4,667,50,not_suitable
42,6,667,50,not_suitable
43,21,667,50,ok
44,7,704,60,ok
45,10,704,60,not_suitable
46,11,704,60,ok
47,13,704,60,not_suitable
48,2,709,70,not_suitable
49,3,709,70,ok
50,14,709,70,ok
51,20,709,70,ok
